company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Dollar Tree,2021,2021-01-30,25509300,17721000,5900400,1887900,1341900,3427000,5050800,20696000,3730300,7285300,20696000
Five Below,2022,2022-01-29,2848354,1817910,650564,379880,278810,455104,904739,2880460,586901,1120284,2880460
Five Below,2021,2021-01-30,1962137,1309807,497527,154803,123361,281267,755413,2314770,435670,881886,2314770
Costco,2022,2022-08-28,222730000,199382000,19779000,7793000,5844000,17907000,32696000,64166000,31998000,20642000,64166000
Costco,2021,2021-08-29,192052000,170684000,18461000,6708000,5007000,14215000,29505000,59268000,29441000,18078000,59268000
BJ's,2022,2022-01-29,16667302,13588612,2446465,617323,426652,1242935,1517056,5668894,2002481,648108,5668894
TJ Maxx,2022,2022-01-29,48549982,34713812,9081238,4397608,3282815,5961573,13258597,28461458,10468140,6002992,28461458
TJ Maxx,2021,2021-01-30,32136962,24533815,7020917,89263,90470,4337389,15739337,30813555,10803668,5832684,30813555
Ross,2022,2022-01-29,18916244,13708907,2874469,2258540,1722589,2262273,7473176,13640256,4214929,4060050,13640256
Ross,2021,2021-01-30,12531565,9838574,2503281,106297,85382,1508982,6692491,12717867,3967033,3290640,12717867
Burlington,2022,2022-01-29,9322256,5436155,2868527,545298,408839,1021009,2547644,7089513,1947647,760417,7089513
Burlington,2021,2021-01-30,5763980,3555024,2326928,-437623,-216499,740788,2510616,6781092,1683996,464754,6781092
Macy's,2022,2022-01-29,24460000,14956000,8047000,2350000,1430000,4383000,6758000,17590000,5416000,3621000,17590000
Macy's,2021,2021-01-30,18097000,12286000,6767000,-4475000,-3944000,3774000,6184000,17706000,5357000,2553000,17706000
Nordstrom,2022,2022-01-29,14789000,9344000,4953000,492000,178000,2289000,3172000,8869000,3314000,581000,8869000
Nordstrom,2021,2021-01-30,10715000,7600000,4162000,-1047000,-690000,1863000,3642000,9538000,4120000,305000,9538000
Dillard's,2022,2022-01-29,6624267,3747665,1536554,1088363,862473,1080178,1914651,3245557,966186,1451218,3245557
Dillard's,2021,2021-01-30,4433185,3069063,1211483,-153404,-71654,1087763,1661940,3092515,772877,1441008,3092515
Kohl's,2022,2022-01-29,18471000,11437000,5478000,1680000,938000,3067000,5023000,15054000,3286000,4661000,15054000
Kohl's,2021,2021-01-30,15031000,10360000,5021000,-262000,-163000,2590000,5835000,15337000,3022000,5196000,15337000
Amazon,2022,2021-12-31,469822000,272344000,8823000,24879000,33364000,32640000,161580000,420549000,142266000,138245000,420549000
Amazon,2021,2020-12-31,386064000,233307000,6668000,22899000,21331000,23795000,132733000,321195000,126385000,93404000,321195000
Wayfair,2022,2021-12-31,13708000,9813000,2015000,-94000,-131000,69000,3012000,4570000,2217000,-1619000,4570000
Wayfair,2021,2020-12-31,14145156,10032985,1830090,360349,184996,52152,3045802,4569929,2165594,-1191897,4569929
Chewy,2022,2022-01-30,8890773,6517191,1826858,-72178,-73817,560430,1323532,2086281,1644879,14736,2086281
Chewy,2021,2021-01-31,7146264,5325457,1397969,-90464,-92486,513304,1226778,1740910,1380862,-2004,1740910
Ulta Beauty,2022,2022-01-29,8630889,5262335,2061545,1297492,985837,1499218,2281183,4764379,1558010,1535373,4764379
Ulta Beauty,2021,2021-01-30,6151953,4202794,1583017,236820,175835,1168215,2514777,5089969,1343713,1999549,5089969
Bath & Body Works,2022,2022-02-26,7867778,5384287,2692292,-407578,-559623,1725410,2363154,5130572,2074787,174145,5130572
Bath & Body Works,2021,2021-02-27,9233028,6114947,3224363,-336887,-150773,1671909,3620045,6456930,2294921,1276936,6456930
Victoria's Secret,2022,2022-01-29,6785000,4025000,1890000,870000,646000,949000,1691000,4344000,1698000,257000,4344000
Signet Jewelers,2022,2022-01-29,7826000,4702000,2230900,903400,735400,2060400,3730400,6575100,2070700,1564000,6575100
Signet Jewelers,2021,2021-01-30,5226900,3493000,1587400,-57700,-15200,2032500,3582000,6178900,1998700,1190300,6178900
Tapestry,2022,2022-07-02,6684500,2034100,3474600,1175800,856300,994200,2573800,7265300,1468800,2285500,7265300
Tapestry,2021,2021-07-03,5746300,1664400,3113900,968000,834200,734800,3375300,8382400,1425800,3259300,8382400
Capri Holdings,2022,2022-04-02,5654000,1910000,2533000,903000,822000,1096000,1891000,7480000,1566000,2558000,7480000
Capri Holdings,2021,2021-03-27,4060000,1463000,2018000,19000,-62000,736000,1546000,7481000,1621000,2157000,7481000
Lululemon,2022,2022-01-30,6256617,2648052,2225034,1333355,975322,966481,2614853,4942478,1405334,2740046,4942478
Lululemon,2021,2021-01-31,4401879,1937888,1609003,819986,588913,647230,2124379,4185215,883178,2558566,4185215
Boot Barn,2022,2022-03-26,1488256,913183,316735,258338,192450,474300,541831,1199855,336468,599676,1199855
Boot Barn,2021,2021-03-27,893491,598612,208553,86326,59386,275760,374456,933581,221656,394891,933581
Foot Locker,2024,2024-02-03,8168000,5895000,1852000,142000,-330000,0,0,0,0,0,0
Foot Locker,2023,2023-01-28,8759000,5955000,1903000,581000,341000,1643000,2521000,7907000,1610000,3293000,7907000
Foot Locker,2022,2022-01-29,8958000,5878000,1851000,860000,892000,1266000,2363000,8135000,1735000,3243000,8135000
Foot Locker,2021,2021-01-30,7548000,5365000,1587000,303000,323000,923000,2835000,7043000,1644000,2776000,7043000
Nike,2022,2022-05-31,46710000,25231000,14804000,6651000,6046000,8420000,28213000,40321000,10730000,15281000,40321000
Nike,2021,2021-05-31,44538000,24576000,13025000,6661000,5727000,6854000,26291000,37740000,9674000,12767000,37740000
American Eagle,2022,2022-01-29,5010785,3018995,1222000,591065,419629,553458,1396924,3786643,842871,1423672,3786643
American Eagle,2021,2021-01-30,3759113,2610966,977264,-271345,-209274,405445,1522643,3434806,858482,1086665,3434806
Urban Outfitters,2022,2022-01-31,4548763,3054813,1085384,408566,310616,569699,1285747,3791347,981473,1745740,3791347
Urban Outfitters,2021,2021-01-31,3449749,2572347,857934,3972,1236,389618,1223332,3546345,906132,1477358,3546345
Gap,2022,2022-01-29,16670000,10033000,5827000,810000,256000,3018000,5165000,12761000,4077000,2722000,12761000
Gap,2021,2021-01-30,13800000,9095000,5567000,-862000,-665000,2451000,6008000,13769000,3884000,2614000,13769000
Levi Strauss,2022,2021-11-28,5763936,2417225,2652213,686211,553541,897950,2709901,5900069,1869618,1665661,5900069
Levi Strauss,2021,2020-11-29,4452609,2099685,2347628,-85119,-127141,817692,3126241,5641241,1548882,1299475,5641241
Dick's Sporting Goods,2022,2022-01-29,12293400,7581482,2664083,2034503,1519871,2297609,5106656,9041676,2712680,2101586,9041676
Dick's Sporting Goods,2021,2021-01-30,9584000,6533312,2298534,741477,530251,1953568,3759650,7752859,2550198,2339534,7752859
Academy Sports,2022,2022-01-29,6773128,4422033,1443148,907947,671381,1171808,1715747,4584940,1127110,1466946,4584940
Academy Sports,2021,2021-01-30,5689233,3955188,1313647,420398,308764,990034,1415020,4384482,1167093,1111983,4384482
Best Buy,2022,2022-01-29,51761000,40121000,8635000,3039000,2454000,5965000,10539000,17504000,10674000,3020000,17504000
Best Buy,2021,2021-01-30,47262000,36689000,7928000,2391000,1798000,5612000,12540000,19067000,10521000,4587000,19067000
YETI,2022,2022-01-01,1410989,594876,541175,274938,212602,318864,770167,1096364,403713,517823,1096364
YETI,2021,2021-01-02,1091721,462918,414570,214233,155801,140111,476497,737067,287759,288418,737067
Sherwin-Williams,2022,2021-12-31,19944600,11401900,5572500,2248600,1864400,1927200,5053700,20667000,5719500,2437200,20666700
Sherwin-Williams,2021,2020-12-31,18361700,9679100,5477900,2519200,2030400,1804100,4591400,20402000,4594400,3610800,20401600
RH,2022,2022-01-29,3758820,1903409,928230,927181,688546,734289,3091442,5540470,1063758,1170277,5540470
RH,2021,2021-01-30,2848626,1523095,858673,466858,271815,544227,801484,2898313,921632,447026,2898313
Williams-Sonoma,2022,2022-01-30,8245936,4613973,2178847,1453116,1126337,1246372,2323894,4625620,1771686,1664207,4625620
Williams-Sonoma,2021,2021-01-31,6783189,4146920,1725572,910697,680714,1006299,2467080,4661424,1848000,1651185,4661424
Home Depot,2022,2022-01-30,151157000,100325000,25406000,23040000,16433000,22068000,29055000,71876000,28693000,-1696000,71876000
Home Depot,2021,2021-01-31,132110000,87257000,24447000,18278000,12866000,16627000,28477000,70581000,23166000,3299000,70581000
Lowe's,2022,2022-01-28,96250000,64194000,18301000,12093000,8442000,17605000,20060000,44640000,19668000,-4816000,44640000
Lowe's,2021,2021-01-29,89597000,60025000,18526000,9647000,5835000,16193000,22326000,46735000,18730000,1437000,46735000
Tractor Supply,2022,2021-12-25,12731105,8253952,2900297,1306698,997114,2191192,3250440,7767467,2064842,2002665,7767467
Kroger,2022,2022-01-29,137888000,107539000,23203000,3477000,1655000,8353000,12174000,49086000,16323000,9452000,49086000
Kroger,2021,2021-01-30,132498000,101597000,24500000,2780000,2585000,8436000,12503000,48662000,15366000,9576000,48662000
Albertsons,2022,2022-02-26,71887000,51164600,18300500,2436900,1619600,4500800,8366400,28123000,8348500,3024600,28123000
Albertsons,2021,2021-02-27,69690400,49275900,18835800,1617500,850200,4301300,6988000,26598000,6832200,1324300,26598000
Walgreens,2022,2022-08-31,132703000,104437000,27295000,1387000,4065000,8353000,16902000,90124000,22583000,25275000,90124000
Walgreens,2021,2021-08-31,132509000,104442000,24586000,2342000,2512000,8159000,15814000,81285000,22054000,23822000,81285000
CVS,2022,2021-12-31,292111000,175803000,37066000,13193000,7910000,17760000,60008000,232999000,67807000,75381000,232999000
CVS,2021,2020-12-31,268706000,163981000,35135000,13911000,7192000,18496000,56369000,230715000,62017000,69701000,230715000
Rite Aid,2022,2022-02-26,24568255,19461760,5033876,-542258,-538478,1959389,3449355,8529003,2933088,99033,8529003
Rite Aid,2021,2021-02-27,24043240,19338918,4657185,-120227,-90909,1864890,3595174,9335404,2602946,615154,9335404
BJ's,2021,2021-01-30,0,0,0,0,0,0,0,0,0,0,0
Abercrombie & Fitch,2023,2023-01-28,0,0,0,0,0,505621,1228018,2713100,902200,706569,2713100
Abercrombie & Fitch,2022,2022-01-29,0,0,0,0,0,525864,1507759,2939491,1015240,837324,2939491
Abercrombie & Fitch,2021,2021-01-30,0,0,0,0,0,404053,1661629,3314902,959399,949312,3314902
Tractor Supply,2021,2020-12-26,116370,0,0,0,116370,1783270,3258685,7049116,1743798,1923840,7049116
