company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
signet_jewelers,2023,7842100,4790000,2214600,604900,376700,2150300,3507100,6620400,2248100,1578600,6620400
signet_jewelers,2024,7171100,4345700,2197700,621500,775900,1936600,3536600,6813200,1976000,2166500,6813200
tapestry,2019,6027100,1973400,3239600,814100,643400,778300,2556800,6877300,918000,3513400,6877300
tapestry,2020,4961400,1722100,3312400,-550800,-652100,736900,2553100,7924200,1742100,2276400,7924200
tapestry,2021,5746300,1664400,3113900,968000,834200,734800,3375300,8382400,1425800,3259300,8382400
tapestry,2022,6684500000,2034100000,3474600000,1175800000,856300000,994200,2573800,7265300,1468800,2285500,7265300
tapestry,2023,6660900,1946000,3542500,1172400,936000,919500,2363500,7116800,1286500,2277800,7116800
tapestry,2024,6671200,1781700,3749400,1140100,816000,,,,,,
target,2019,75356000,53299000,15723000,4110000,2937000,9497000,12519000,41290000,15014000,11297000,41290000
target,2020,77130000,54864000,16233000,4658000,3281000,8992000,12902000,42779000,14487000,11833000,42779000
target,2021,93561000,66177000,18615000,6539000,4368000,10653000,20756000,51248000,20125000,14440000,51248000
target,2022,106005000,74963000,19752000,8946000,6946000,13902000,21573000,53811000,21747000,12827000,53811000
target,2023,109120000,82229000,20658000,3848000,2780000,13499000,17846000,53335000,19500000,11232000,53335000
target,2024,107412000,77736000,21554000,5707000,4138000,11886000,17498000,55356000,19304000,13432000,55356000
tj_maxx,2019,38972934,27831177,6923564,4173211,3059798,4579033,8469222,14326029,5531374,5048606,14326029
tj_maxx,2020,41716977,29845780,7454988,4406183,3272193,4872592,8890622,24145003,7150247,5948212,24145003
tj_maxx,2021,32136962,24533815,7020917,408232,90470,4337.389,15739.337,30813.555,10803.668,5832.684,30813.555
tj_maxx,2022,,,,,,5961573,13258597,28461458,10468140,6002992,28461458
tj_maxx,2023,49936000,36149000,8927000,4967000,3498000,5819000,12456000,28349000,10305000,6364000,28349000
tj_maxx,2024,54217000,37951000,10469000,5798000,4474000,5965000,12664000,29747000,10451000,7302000,29747000
tractor_supply,2019,7911046,5208518,1823440,701737,532357,1589542,1794399,3085262,938107,1561820,3085262
tractor_supply,2020,8351931,5480161,1932572,743220,562354,1602781,1787887,5289268,1247600,1567123,5289268
tractor_supply,2021,10620352,6858803,2478524,996928,748958,1783270,3258685,7049116,1743798,1923840,7049116
tractor_supply,2022,12731105,8253952,2900297,1306698,997114,2191192,3250440,7767467,2064842,2002665,7767467
tractor_supply,2023,14204717,9232513,3194199,1434943,1088712,2709597,3157775,8489990,2376212,2042416,8489990
tractor_supply,2024,14555741,9327522,3356258,1478912,1107226,2645854,3263939,9188151,2177082,2149762,9188151
ulta_beauty,2019,6716615,4307304,1535464,854080,658559,1214329,1914861,3191172,823736,1820218,3191172
ulta_beauty,2020,7398068,4717004,1760716,901094,705945,1293701,2055317,4863872,1137261,1902094,4863872
ulta_beauty,2021,6151953,4202794,1583017,236820,175835,1168215,2514777,5089969,1343713,1999549,5089969
ulta_beauty,2022,8630889,5262335,2061545,1297492,985837,1499218,2281183,4764379,1558010,1535373,4764379
ulta_beauty,2023,10208580,6164070,2395299,1638610,1242408,1603451,2709304,5370411,1681775,1959811,5370411
ulta_beauty,2024,11207303,6826203,2694561,1678029,1291005,1742136,2836518,5707011,1658191,2279328,5707011
urban_outfitters,2019,3950623,2603911,965399,381313,298003,370507,1202756,2160515,386644,1489098,2160515
urban_outfitters,2020,3983789,2729352,993990,231925,168096,409534,1053396,3315633,638770,1455355,3315633
urban_outfitters,2021,3449749,2572347,857934,3972,1236,389618,1223332,3546345,906132,1477358,3546345
urban_outfitters,2022,4548763,3054813,1085384,408566,310616,569699,1285747,3791347,981473,1745740,3791347
urban_outfitters,2023,4795244,3361611,1200593,226623,159699,587510,1237719,3682912,890374,1792683,3682912
urban_outfitters,2024,5153237,3425958,1339205,369795,287674,550242,1282503,4111209,994205,2112540,4111209
victorias_secret,2022,6785000,4025000,1890000,870000,646000,949000,1691000,4344000,1698000,257000,4344000
victorias_secret,2023,6344000,4086000,1780000,478000,348000,1052000,1737000,4711000,1579000,401000,4711000
victorias_secret,2024,6182000,3940000,1996000,246000,109000,985000,1533000,4600000,1614000,417000,4600000
walgreens,2019,136866000,106790000,25242000,4998000,3982000,9333000,18700000,67598000,25769000,23512000,67598000
walgreens,2020,139537000,111520000,27045000,1312000,424000,9451000,18073000,87174000,27070000,20637000,87174000
