company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Victoria's Secret,2021,2021-01-31,5413000.0,3842000.0,1672000.0,-101000.0,-72000.0,701000.0,1239000.0,4229000.0,1556000.0,891000.0,3338000.0
Signet Jewelers,2024,2024-01-31,7171100.0,4345700.0,2197700.0,627700.0,810400.0,1936600.0,3536600.0,6813200.0,1976000.0,2822000.0,3991200.0
Signet Jewelers,2023,2023-01-31,7842100.0,4790000.0,2214600.0,837500.0,376700.0,2150300.0,3507100.0,6620400.0,2248100.0,2232400.0,4388000.0
Signet Jewelers,2022,2022-01-31,7826000.0,4702000.0,2230900.0,901700.0,769900.0,2060400.0,3730400.0,6575100.0,2070700.0,2216100.0,4359000.0
Signet Jewelers,2021,2021-01-31,5226900.0,3494400.0,1587400.0,145100.0,-15200.0,2032500.0,3582000.0,6178900.0,1998700.0,1832600.0,4346300.0
Tapestry,2024,2024-06-30,6671200.0,1781700.0,3749400.0,1140100.0,816000.0,824800.0,8803700.0,13396300.0,1711600.0,2896900.0,10499400.0
Tapestry,2023,2023-06-30,6660900.0,1946000.0,3542500.0,1172400.0,936000.0,919500.0,2363500.0,7116800.0,1286500.0,2277800.0,4839000.0
Tapestry,2022,2022-06-30,6684500.0,2034100.0,3474600.0,1175800.0,856300.0,994200.0,2573800.0,7265300.0,1468800.0,2285500.0,4979800.0
Tapestry,2021,2021-06-30,5746300.0,1664400.0,3113900.0,968000.0,834200.0,734800.0,3375300.0,8382400.0,1425800.0,3259300.0,5123100.0
Capri Holdings,2024,2024-03-31,5170000.0,1831000.0,2784000.0,367000.0,-229000.0,862000.0,1608000.0,6689000.0,1695000.0,1599000.0,5089000.0
Capri Holdings,2023,2023-03-31,5619000.0,1895000.0,2708000.0,837000.0,616000.0,1057000.0,1870000.0,7295000.0,1450000.0,1848000.0,5446000.0
Capri Holdings,2022,2022-03-31,5654000.0,1910000.0,2533000.0,1018000.0,822000.0,1096000.0,1891000.0,7480000.0,1566000.0,2559000.0,4922000.0
Capri Holdings,2021,2021-03-31,4060000.0,1463000.0,2018000.0,367000.0,-62000.0,736000.0,1546000.0,7481000.0,1621000.0,2158000.0,5324000.0
Lululemon,2024,2024-01-31,9619278.0,4009873.0,3397218.0,2207177.0,1550190.0,1323602.0,4060577.0,7091941.0,1631261.0,4232081.0,2859860.0
Lululemon,2023,2023-01-31,8110518.0,3618178.0,2757447.0,1726141.0,854800.0,1447367.0,3159453.0,5607038.0,1492198.0,3148799.0,2458239.0
Lululemon,2022,2022-01-31,6256617.0,2648052.0,2225034.0,1374749.0,975322.0,966481.0,2614853.0,4942478.0,1405334.0,2740046.0,2202432.0
Lululemon,2021,2021-01-31,4401879.0,1937888.0,1609003.0,849828.0,588913.0,647230.0,2124379.0,4185215.0,883178.0,2558566.0,1626649.0
Boot Barn,2024,2024-03-31,1667009.0,1052585.0,416210.0,198214.0,146996.0,599120.0,729649.0,1705592.0,312808.0,943643.0,761949.0
Boot Barn,2023,2023-03-31,1657615.0,1047043.0,378785.0,231787.0,170553.0,589494.0,669173.0,1517381.0,374842.0,776450.0,740931.0
Boot Barn,2022,2022-03-31,1488256.0,913183.0,316735.0,258338.0,192450.0,474300.0,541831.0,1199855.0,336468.0,599676.0,600179.0
Boot Barn,2021,2021-03-31,893491.0,598612.0,208553.0,86326.0,59386.0,275760.0,374456.0,933581.0,221656.0,394891.0,538690.0
Foot Locker,2024,2024-01-31,8168000.0,5895000.0,1852000.0,222000.0,-330000.0,1509000.0,2225000.0,6868000.0,1291000.0,2890000.0,3978000.0
Foot Locker,2023,2023-01-31,8759000.0,5955000.0,1903000.0,693000.0,342000.0,1643000.0,2521000.0,7907000.0,1610000.0,3293000.0,4614000.0
Foot Locker,2022,2022-01-31,8968000.0,5878000.0,1851000.0,1042000.0,893000.0,1266000.0,2363000.0,8135000.0,1735000.0,3239000.0,4892000.0
Foot Locker,2021,2021-01-31,7554000.0,5365000.0,1587000.0,426000.0,323000.0,923000.0,2835000.0,7043000.0,1644000.0,2771000.0,4267000.0
Nike,2024,2024-05-31,51362000.0,28475000.0,16576000.0,6311000.0,5700000.0,7519000.0,25382000.0,38110000.0,10593000.0,14430000.0,23680000.0
Nike,2023,2023-05-31,51217000.0,28925000.0,16377000.0,5915000.0,5070000.0,8454000.0,25202000.0,37531000.0,9256000.0,14004000.0,23527000.0
Nike,2022,2022-05-31,46710000.0,25231000.0,14804000.0,6675000.0,6046000.0,8420000.0,28213000.0,40321000.0,10730000.0,15281000.0,25040000.0
Nike,2021,2021-05-31,44538000.0,24576000.0,13025000.0,6937000.0,5727000.0,6854000.0,26291000.0,37740000.0,9674000.0,12767000.0,24973000.0
Abercrombie & Fitch,2024,2024-01-31,4280677.0,1587265.0,2214614.0,484671.0,328123.0,469466.0,1537265.0,2974233.0,966820.0,1035160.0,1924246.0
Abercrombie & Fitch,2023,2023-01-31,3697751.0,1593213.0,2014564.0,92648.0,2816.0,505621.0,1228018.0,2713100.0,902200.0,694841.0,2006531.0
Abercrombie & Fitch,2022,2022-01-31,3712768.0,1400773.0,1977238.0,343084.0,263010.0,525864.0,1507759.0,2939491.0,1015240.0,826090.0,2102167.0
Abercrombie & Fitch,2021,2021-01-31,3125384.0,1234179.0,1843791.0,52468.0,-114021.0,404053.0,1661629.0,3314902.0,959399.0,936628.0,2365590.0
American Eagle,2024,2024-01-31,5261770.0,3237192.0,1433300.0,364412.0,170038.0,640662.0,1433350.0,3557909.0,891172.0,1736759.0,1821150.0
American Eagle,2023,2023-01-31,4989833.0,3244585.0,1269095.0,269256.0,125136.0,585083.0,1100241.0,3420956.0,768948.0,1599163.0,1821793.0
